"start_time","11:53"
"#_inside_plot","0"
"#_outside_plot","0"
"extra_monarchs","1"
"common_ramets","10"
"common_eggs","1"
"common_1instar","0"
"common_2instar","0"
"common_3instar","0"
"common_4instar","0"
"common_5instar","0"
"swamp_ramets","0"
"swamp_eggs","0"
"swamp_1instar","0"
"swamp_2instar","0"
"swamp_3instar","0"
"swamp_4instar","0"
"swamp_5instar","0"
"butterfly_ramets","1"
"butterfly_eggs","0"
"butterfly_1instar","0"
"butterfly_2instar","0"
"butterfly_3instar","0"
"butterfly_4instar","0"
"butterfly_5instar","0"
"palmer_amaranth",NA
